date_time,temp_c,dew_point,relative_humidity,wind_speed,visibility,pressure,weather,temp_f,month
2012-01-01 00:00:00,-1.8,-3.9,86,4,8.0,101.24,Fog,28.759999999999998,1
2012-01-01 01:00:00,-1.8,-3.7,87,4,8.0,101.24,Fog,28.759999999999998,1
2012-01-01 02:00:00,-1.8,-3.4,89,7,4.0,101.26,"Freezing Drizzle,Fog",28.759999999999998,1
2012-01-01 03:00:00,-1.5,-3.2,88,6,4.0,101.27,"Freezing Drizzle,Fog",29.3,1
2012-01-01 04:00:00,-1.5,-3.3,88,7,4.8,101.23,Fog,29.3,1
2012-01-01 05:00:00,-1.4,-3.3,87,9,6.4,101.27,Fog,29.48,1
2012-01-01 06:00:00,-1.5,-3.1,89,7,6.4,101.29,Fog,29.3,1
2012-01-01 07:00:00,-1.4,-3.6,85,7,8.0,101.26,Fog,29.48,1
2012-01-01 08:00:00,-1.4,-3.6,85,9,8.0,101.23,Fog,29.48,1
2012-01-01 09:00:00,-1.3,-3.1,88,15,4.0,101.2,Fog,29.66,1
2012-01-01 10:00:00,-1.0,-2.3,91,9,1.2,101.15,Fog,30.2,1
2012-01-01 11:00:00,-0.5,-2.1,89,7,4.0,100.98,Fog,31.1,1
2012-01-01 12:00:00,-0.2,-2.0,88,9,4.8,100.79,Fog,31.64,1
2012-01-01 13:00:00,0.2,-1.7,87,13,4.8,100.58,Fog,32.36,1
2012-01-01 14:00:00,0.8,-1.1,87,20,4.8,100.31,Fog,33.44,1
2012-01-01 15:00:00,1.8,-0.4,85,22,6.4,100.07,Fog,35.24,1
2012-01-01 16:00:00,2.6,-0.2,82,13,12.9,99.93,Mostly Cloudy,36.68,1
2012-01-01 17:00:00,3.0,0.0,81,13,16.1,99.81,Cloudy,37.4,1
2012-01-01 18:00:00,3.8,1.0,82,15,12.9,99.74,Rain,38.84,1
2012-01-01 19:00:00,3.1,1.3,88,15,12.9,99.68,Rain,37.58,1
2012-01-01 20:00:00,3.2,1.3,87,19,25.0,99.5,Cloudy,37.76,1
2012-01-01 21:00:00,4.0,1.7,85,20,25.0,99.39,Cloudy,39.2,1
2012-01-01 22:00:00,4.4,1.9,84,24,19.3,99.32,Rain Showers,39.92,1
2012-01-01 23:00:00,5.3,2.0,79,30,25.0,99.31,Cloudy,41.54,1
2012-01-02 00:00:00,5.2,1.5,77,35,25.0,99.26,Rain Showers,41.36,1
2012-01-02 01:00:00,4.6,0.0,72,39,25.0,99.26,Cloudy,40.28,1
2012-01-02 02:00:00,3.9,-0.9,71,32,25.0,99.26,Mostly Cloudy,39.019999999999996,1
2012-01-02 03:00:00,3.7,-1.5,69,33,25.0,99.3,Mostly Cloudy,38.66,1
2012-01-02 04:00:00,2.9,-2.3,69,32,25.0,99.26,Mostly Cloudy,37.22,1
2012-01-02 05:00:00,2.6,-2.3,70,32,25.0,99.21,Mostly Cloudy,36.68,1
2012-01-02 06:00:00,2.3,-2.6,70,26,25.0,99.18,Mostly Cloudy,36.14,1
2012-01-02 07:00:00,2.0,-2.9,70,33,25.0,99.14,Mostly Cloudy,35.6,1
2012-01-02 08:00:00,1.9,-3.3,68,39,24.1,99.14,Mostly Cloudy,35.42,1
2012-01-02 09:00:00,1.8,-3.7,67,44,24.1,99.14,Mostly Cloudy,35.24,1
2012-01-02 10:00:00,1.5,-4.1,66,43,24.1,99.18,Mostly Cloudy,34.7,1
2012-01-02 11:00:00,2.2,-3.5,66,30,24.1,99.19,Mostly Cloudy,35.96,1
2012-01-02 12:00:00,1.7,-6.2,56,48,24.1,99.21,Mainly Clear,35.06,1
